date,content,amount,type
500/03/2020 10:20:11,Any text there,+200.000,Deposit
21/03/2020 10:20:11WRONG,Any text there,+200.000,Deposit
21/03/2020 10:20:11,Any text there,-100.000WRONG,Withdraw
21/03/2020 10:20:11,Any text there,+200.001,Deposit-WRONG
21/03/2020 10:20:11,Any text there,-100.001,Withdraw-WRONG
21/03/2020 10:20:11,Any text there,-200.002,Deposit
21/03/2020 10:20:11,Any text there,-100.002,Withdraw
21/03/2020 10:20:11,Any text there,+200.003,Deposit
21/03/2020 10:20:11,Any text there,+100.003,Withdraw
21/03/2020 10:20:11,Any text there,+200.004,Deposit
21/03/2020 10:20:11,Any text there,+200.003,Deposit
21/03/2020 10:20:11,Any text there,-100.004,Withdraw
21/03/2020 10:20:11,Any text there,+200.005,Deposit
21/03/2020 10:20:11,Any text there,-100.005,Withdraw
21/03/2020 10:20:11,Any text there,+200.006,Deposit
21/03/2020 10:20:11,Any text there,+200.006,Deposit
21/03/2020 10:20:11,Any text there,+200.001,Deposit
21/03/2020 10:20:11,Any text there,-100.001,Withdraw
21/03/2020 10:20:11,Any text there,+200.002,Deposit
21/03/2020 10:20:11,Any text there,-100.002,Withdraw
21/03/2020 10:20:11,Any text there,+200.003,Deposit
21/03/2020 10:20:11,Any text there,-100.003,Withdraw
21/03/2020 10:20:11,Any text there,+200.004,Deposit
21/03/2020 10:20:11,Any text there,-100.004,Withdraw
21/03/2020 10:20:11,Any text there,+200.005,Deposit
21/03/2020 10:20:11,Any text there,-100.005,Withdraw
21/03/2020 10:20:11,Any text there,+200.006,Deposit
21/03/2020 10:20:11,Any text there,-100.006,Withdraw
21/03/2020 10:20:11,Any text there,+200.007,Deposit
21/03/2020 10:20:11,Any text there,+200.002,Deposit
21/03/2020 10:20:11,Any text there,-100.002,Withdraw
21/03/2020 10:20:11,Any text there,+200.003,Deposit
21/03/2020 10:20:11,Any text there,-100.003,Withdraw
21/03/2020 10:20:11,Any text there,+200.004,Deposit
21/03/2020 10:20:11,Any text there,-100.004,Withdraw
21/03/2020 10:20:11,Any text there,+200.005,Deposit
21/03/2020 10:20:11,Any text there,-100.005,Withdraw
21/03/2020 10:20:11,Any text there,+200.006,Deposit
21/03/2020 10:20:11,Any text there,-100.006,Withdraw
21/03/2020 10:20:11,Any text there,+200.007,Deposit
21/03/2020 10:20:11,Any text there,-100.007,Withdraw
21/03/2020 10:20:11,Any text there,+200.008,Deposit
21/03/2020 10:20:11,Any text there,+200.003,Deposit
21/03/2020 10:20:11,Any text there,-100.003,Withdraw
21/03/2020 10:20:11,Any text there,+200.004,Deposit
21/03/2020 10:20:11,Any text there,-100.004,Withdraw
21/03/2020 10:20:11,Any text there,+200.005,Deposit
21/03/2020 10:20:11,Any text there,-100.005,Withdraw
21/03/2020 10:20:11,Any text there,+200.006,Deposit
21/03/2020 10:20:11,Any text there,-100.006,Withdraw
21/03/2020 10:20:11,Any text there,+200.007,Deposit
21/03/2020 10:20:11,Any text there,-100.007,Withdraw
21/03/2020 10:20:11,Any text there,+200.008,Deposit
21/03/2020 10:20:11,Any text there,-100.008,Withdraw
21/03/2020 10:20:11,Any text there,+200.009,Deposit
21/03/2020 10:20:11,Any text there,+200.004,Deposit
21/03/2020 10:20:11,Any text there,-100.004,Withdraw
21/03/2020 10:20:11,Any text there,+200.005,Deposit
21/03/2020 10:20:11,Any text there,-100.005,Withdraw
21/03/2020 10:20:11,Any text there,+200.006,Deposit
21/03/2020 10:20:11,Any text there,-100.006,Withdraw
21/03/2020 10:20:11,Any text there,+200.007,Deposit
21/03/2020 10:20:11,Any text there,-100.007,Withdraw
21/03/2020 10:20:11,Any text there,+200.008,Deposit
21/03/2020 10:20:11,Any text there,-100.008,Withdraw
21/03/2020 10:20:11,Any text there,+200.009,Deposit
21/03/2020 10:20:11,Any text there,-100.009,Withdraw
21/03/2020 10:20:11,Any text there,+200.010,Deposit
21/03/2020 10:20:11,Any text there,+200.005,Deposit
21/03/2020 10:20:11,Any text there,-100.005,Withdraw
21/03/2020 10:20:11,Any text there,+200.006,Deposit
21/03/2020 10:20:11,Any text there,-100.006,Withdraw
21/03/2020 10:20:11,Any text there,+200.007,Deposit
21/03/2020 10:20:11,Any text there,-100.007,Withdraw
21/03/2020 10:20:11,Any text there,+200.008,Deposit
21/03/2020 10:20:11,Any text there,-100.008,Withdraw
21/03/2020 10:20:11,Any text there,+200.009,Deposit
21/03/2020 10:20:11,Any text there,-100.009,Withdraw
